Sex_M	Age	Age2	pEUR	Height	PRS0	f1	f2	R2_PRS0	Rep	Label2	SE_PRS0	ss1	Test_Data	N	Label
1	76	5776	0.158129049860984	180.34	0.456251245390474	Height~Sex_M+Age+Age2+pEUR+PRS0	Height~Sex_M+Age+Age2+pEUR	0.968	1000	pEUR<0.17	0.553	PRS_META_AFR2	HRS_AFR	90890	META_AFR+PAGE
1	58	3364	0.18646724832963	180.97	1.13189885907326	Height~Sex_M+Age+Age2+pEUR+PRS0	Height~Sex_M+Age+Age2+pEUR	2.64	1000	pEUR>0.17	1.005	PRS_META_AFR2	HRS_AFR	90890	META_AFR+PAGE
1	76	5776	0.158129049860984	180.34	-0.113853067750229	Height~Sex_M+Age+Age2+pEUR+PRS0	Height~Sex_M+Age+Age2+pEUR	3.989	1000	all	0.816	PRS_UKBB	HRS_AFR	360388	UKBB
1	76	5776	0.158129049860984	180.34	-0.103646785366791	Height~Sex_M+Age+Age2+pEUR+PRS0	Height~Sex_M+Age+Age2+pEUR	3.401	1000	pEUR<0.17	0.976	PRS_UKBB	HRS_AFR	360388	UKBB
1	58	3364	0.18646724832963	180.97	-0.042739170938291	Height~Sex_M+Age+Age2+pEUR+PRS0	Height~Sex_M+Age+Age2+pEUR	4.941	1000	pEUR>0.17	1.455	PRS_UKBB	HRS_AFR	360388	UKBB
1	76	5776	0.158129049860984	180.34	-0.535634853290631	Height~Sex_M+Age+Age2+pEUR+PRS0	Height~Sex_M+Age+Age2+pEUR	2.917	1000	all	0.706	PRS_GIANT	HRS_AFR	253280	GIANT
1	76	5776	0.158129049860984	180.34	-0.237590946081505	Height~Sex_M+Age+Age2+pEUR+PRS0	Height~Sex_M+Age+Age2+pEUR	2.819	1000	pEUR<0.17	0.891	PRS_GIANT	HRS_AFR	253280	GIANT
1	58	3364	0.18646724832963	180.97	0.0864998753163994	Height~Sex_M+Age+Age2+pEUR+PRS0	Height~Sex_M+Age+Age2+pEUR	3.222	1000	pEUR>0.17	1.096	PRS_GIANT	HRS_AFR	253280	GIANT
1	76	5776	0.158129049860984	180.34	0.929335581620664	Height~Sex_M+Age+Age2+pEUR+PRS0	Height~Sex_M+Age+Age2+pEUR	3.138	1000	all	0.718	PRS_PAGE	HRS_AFR	49781	PAGE
1	76	5776	0.158129049860984	180.34	0.995707766493275	Height~Sex_M+Age+Age2+pEUR+PRS0	Height~Sex_M+Age+Age2+pEUR	2.358	1000	pEUR<0.17	0.86	PRS_PAGE	HRS_AFR	49781	PAGE
